# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
sun;600;2023-08-04 01:20:01 UTC;1;0.03;0.00;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-04 01:20:01 UTC;2;0.07;0.00;0.05;0.00;0.00;0.00;0.01;0.00;0.00;99.86
sun;600;2023-08-04 01:20:01 UTC;3;0.06;0.00;0.04;0.00;0.00;0.00;0.01;0.00;0.00;99.89
sun;600;2023-08-04 01:30:01 UTC;-1;0.05;0.00;0.06;0.02;0.00;0.00;0.01;0.00;0.00;99.87
sun;600;2023-08-04 01:30:01 UTC;0;0.03;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 01:30:01 UTC;1;0.06;0.00;0.09;0.02;0.00;0.00;0.00;0.00;0.00;99.83
sun;600;2023-08-04 01:30:01 UTC;2;0.06;0.00;0.05;0.01;0.00;0.00;0.01;0.00;0.00;99.88
sun;600;2023-08-04 01:30:01 UTC;3;0.05;0.00;0.03;0.03;0.00;0.00;0.02;0.00;0.00;99.87
sun;599;2023-08-04 01:40:00 UTC;-1;0.04;0.00;0.07;0.01;0.00;0.00;0.00;0.00;0.00;99.88
sun;599;2023-08-04 01:40:00 UTC;0;0.04;0.00;0.08;0.01;0.00;0.00;0.00;0.00;0.00;99.88
sun;599;2023-08-04 01:40:00 UTC;1;0.05;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.85
sun;599;2023-08-04 01:40:00 UTC;2;0.02;0.00;0.05;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;599;2023-08-04 01:40:00 UTC;3;0.04;0.00;0.04;0.03;0.00;0.00;0.00;0.00;0.00;99.89
sun;601;2023-08-04 01:50:01 UTC;-1;0.03;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;601;2023-08-04 01:50:01 UTC;0;0.01;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;99.95
sun;601;2023-08-04 01:50:01 UTC;1;0.01;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;99.90
sun;601;2023-08-04 01:50:01 UTC;2;0.05;0.00;0.04;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;601;2023-08-04 01:50:01 UTC;3;0.04;0.00;0.06;0.01;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 02:00:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 02:00:01 UTC;0;0.01;0.00;0.07;0.01;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-04 02:00:01 UTC;1;0.01;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-04 02:00:01 UTC;2;0.03;0.00;0.06;0.03;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-04 02:00:01 UTC;3;0.05;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 02:10:01 UTC;-1;0.03;0.00;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 02:10:01 UTC;0;0.01;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 02:10:01 UTC;1;0.01;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;99.91
sun;600;2023-08-04 02:10:01 UTC;2;0.06;0.00;0.06;0.03;0.00;0.00;0.00;0.00;0.00;99.85
sun;600;2023-08-04 02:10:01 UTC;3;0.04;0.00;0.04;0.03;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 02:20:01 UTC;-1;0.03;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-04 02:20:01 UTC;0;0.01;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-04 02:20:01 UTC;1;0.01;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;99.92
